team,possession_heavy,low_block_defense,transition_threat,set_piece_threat,pressing_intensity,chance_creation,sterile_possession_risk,struggles_vs_low_block,defensive_compactness,attacking_directness,aerial_threat,notes
Argentina,74,42,70,66,70,82,38,42,66,60,62,"Elite control and game management; not stress-tested yet in this bracket path."
Australia,42,68,58,72,56,50,48,44,70,66,74,"Physical direct side with set-piece/aerial routes."
Belgium,62,45,68,64,60,72,42,48,58,62,70,"Experienced attack and late resilience; defensive volatility after Senegal comeback."
Brazil,70,34,82,58,72,86,38,42,56,72,58,"Ancelotti patience plus individual transition quality; can start slowly."
Canada,50,58,70,52,72,58,50,58,60,68,52,"Marsch energy and pressing; can be baited into low-block frustration."
Colombia,58,62,76,72,68,72,40,44,70,72,76,"Physical and battle-tested with vertical threat and set pieces."
England,66,54,66,78,64,76,50,62,66,58,78,"Elite talent and set pieces; slow starts and low-block/altitude concerns."
France,62,56,88,70,76,88,30,34,72,82,76,"Most complete current profile: transition, athleticism, defensive work rate."
Mexico,56,62,72,58,68,66,44,50,66,70,58,"Home altitude/crowd amplifies directness and late-game pressure."
Morocco,42,88,80,74,66,60,42,38,88,70,72,"Elite survival profile: low block, counter, set pieces, penalties."
Norway,46,58,76,72,54,66,44,46,62,74,86,"Direct box threat and physicality; vulnerable to elite control."
Paraguay,38,86,66,76,60,52,46,40,84,68,76,"Compact low-block survival and penalty-friendly game shape."
Portugal,64,50,82,68,66,80,40,46,62,74,70,"Transition and finishing threat against possession teams; strong knockout nerve."
Spain,90,28,54,58,84,82,50,56,60,48,50,"Possession plus press; Austria win reduces sterile-possession concern."
Switzerland,54,72,62,62,58,58,44,42,76,56,64,"Disciplined compact team with counter routes but limited ceiling."
United States,56,54,70,60,76,64,48,54,58,68,62,"Home energy and press, but Belgium can exploit transition gaps."
